timestep,csx0,csy0,csx1,csy1, ,cx0,cy0,cx1,cy1, ,nx0,ny0,nx1,ny1, ,bx0,by0,bx1,by1, ,area_cancer_stem_cells,area_cancer_cells,area_normal_cells,area_blood_cells, ,num_cancer_stem_cells,num_cancer_cells,num_normal_cells,num_blood_cells, ,avg_vegf,avg_lactic,avg_o2,avg_glucose
0,38,40,59,62, ,37,35,65,63, ,34,34,66,63, ,1,1,99,50, ,506,841,990,4950, ,33,61,319,132, ,0.23,0.0644,0.396,1.32
0,38,40,59,62, ,37,35,65,63, ,34,34,66,63, ,1,1,99,50, ,506,841,990,4950, ,33,61,319,132, ,6.16654,2.05355,6.80216,22.6739
1,38,40,59,62, ,37,35,65,63, ,34,34,66,63, ,1,1,99,50, ,506,841,990,4950, ,33,61,319,132, ,6.16654,2.05355,6.80216,22.6739
2,38,39,59,62, ,37,35,64,64, ,34,34,66,63, ,1,1,99,50, ,528,840,990,4950, ,37,76,319,212, ,6.12655,2.07228,7.00835,23.3612
3,37,36,59,64, ,37,35,64,66, ,34,34,66,63, ,1,1,99,50, ,667,896,990,4950, ,41,90,319,291, ,6.17908,2.09583,7.13318,23.7773
4,35,36,60,64, ,34,35,64,66, ,34,34,66,63, ,1,1,99,50, ,754,992,990,4950, ,45,104,319,424, ,6.14724,2.12386,7.39338,24.6446
5,33,36,60,64, ,34,33,64,66, ,34,34,66,63, ,1,1,99,50, ,812,1054,990,4950, ,48,121,319,598, ,6.09731,2.16173,7.63914,25.4638
6,33,36,62,66, ,34,31,67,66, ,34,34,66,63, ,1,1,99,50, ,930,1224,990,4950, ,53,141,319,857, ,6.11772,2.20581,7.87386,26.2462
7,33,36,62,68, ,34,31,67,67, ,34,34,66,63, ,1,1,99,50, ,990,1258,990,4950, ,55,167,319,1115, ,6.05126,2.25009,8.20473,27.3491
8,31,36,62,68, ,33,29,67,68, ,34,34,66,63, ,1,1,99,50, ,1056,1400,990,4950, ,63,189,319,1354, ,5.98355,2.29985,8.5867,28.6223
9,31,36,64,68, ,32,29,67,68, ,34,34,66,63, ,1,1,99,52, ,1122,1440,990,5148, ,70,218,319,1577, ,5.90177,2.35859,9.01491,30.0497
10,29,36,64,68, ,30,26,68,68, ,34,34,66,63, ,1,1,99,52, ,1188,1677,990,5148, ,72,239,319,1808, ,5.83368,2.4205,9.43136,31.4379
11,29,36,64,68, ,30,25,68,70, ,34,34,66,63, ,1,1,99,55, ,1188,1794,990,5445, ,75,271,319,2039, ,5.69713,2.47982,9.93132,33.1044
12,29,36,64,68, ,30,22,68,70, ,34,34,66,63, ,1,1,99,55, ,1188,1911,990,5445, ,83,297,319,2274, ,5.66401,2.54556,10.3237,34.4124
13,29,36,64,68, ,30,21,70,72, ,34,34,66,63, ,1,1,99,58, ,1188,2132,990,5742, ,92,343,319,2505, ,5.63295,2.61937,10.7453,35.8175
14,26,38,64,71, ,26,21,70,74, ,34,34,66,63, ,1,1,99,59, ,1326,2430,990,5841, ,99,401,319,2735, ,5.69795,2.6999,11.0926,36.9752
15,26,38,64,72, ,26,21,72,74, ,34,34,66,63, ,1,1,99,61, ,1365,2538,990,6039, ,107,442,319,2951, ,5.64477,2.77755,11.5618,38.5392
